"filename", "language", "XML", "JavaScript", "Markdown", "CSS", "SCSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\SkillComp\index.scss", "SCSS", 0, 0, 0, 0, 24, 0, 0, 0, 6, 30
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\index.js", "JavaScript", 0, 313, 0, 0, 0, 0, 0, 0, 13, 326
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\index.scss", "SCSS", 0, 0, 0, 0, 260, 0, 0, 0, 48, 308
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardContact\index.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 2, 76
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardContact\index.scss", "SCSS", 0, 0, 0, 0, 121, 0, 0, 0, 24, 145
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardFAQ\index.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 0, 2, 143
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardFAQ\index.scss", "SCSS", 0, 0, 0, 0, 63, 0, 0, 0, 14, 77
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardLayout\index.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardLayout\index.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardStatistic\index.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 7, 69
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardStatistic\index.scss", "SCSS", 0, 0, 0, 0, 222, 0, 0, 1, 44, 267
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\index.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\sideBarComp\index.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\sideBarComp\index.scss", "SCSS", 0, 0, 0, 0, 66, 0, 0, 0, 10, 76
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Footer\index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Footer\index.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\HomeCard\index.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 0, 11, 138
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\HomeCard\index.scss", "SCSS", 0, 0, 0, 0, 153, 0, 0, 0, 38, 191
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\index.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 6, 8, 62
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\index.scss", "SCSS", 0, 0, 0, 0, 206, 0, 0, 0, 45, 251
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.js", "JavaScript", 0, 169, 0, 0, 0, 0, 0, 0, 22, 191
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.scss", "SCSS", 0, 0, 0, 0, 47, 0, 0, 0, 10, 57
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobPost\index.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 10, 58
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobPost\index.scss", "SCSS", 0, 0, 0, 0, 68, 0, 0, 0, 13, 81
