"filename", "language", "JavaScript", "Markdown", "XML", "CSS", "SCSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardLayout\index.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 3, 3, 23
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardStatistic\index.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 5, 6, 73
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardStatistic\index.scss", "SCSS", 0, 0, 0, 0, 221, 0, 0, 23, 40, 284
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 7, 4, 33
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\sideBarComp\index.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 7, 5, 43
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\sideBarComp\index.scss", "SCSS", 0, 0, 0, 0, 66, 0, 0, 10, 10, 86
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Footer\index.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 7, 5, 46
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Footer\index.scss", "SCSS", 0, 0, 0, 0, 66, 0, 0, 14, 14, 94
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\HomeCard\index.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 31, 5, 134
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\HomeCard\index.scss", "SCSS", 0, 0, 0, 0, 341, 0, 0, 44, 64, 449
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\index.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 6, 7, 55
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\index.scss", "SCSS", 0, 0, 0, 0, 220, 0, 0, 24, 41, 285
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 19, 27, 168
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.scss", "SCSS", 0, 0, 0, 0, 56, 0, 0, 15, 12, 83
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobPost\index.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 7, 5, 49
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobPost\index.scss", "SCSS", 0, 0, 0, 0, 68, 0, 0, 13, 13, 94
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\index.js", "JavaScript", 235, 0, 0, 0, 0, 0, 0, 22, 25, 282
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\index.scss", "SCSS", 0, 0, 0, 0, 193, 0, 0, 28, 37, 258
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Layout\index.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 6, 5, 30
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Layout\index.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 2, 2, 13
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenuInterior\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 7, 6, 60
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenuInterior\index.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 3, 4, 19
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenubarLanding\index.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 6, 6, 54
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenubarLanding\index.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 4, 4, 20
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignIn\index.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 9, 7, 70
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignIn\index.scss", "SCSS", 0, 0, 0, 0, 70, 0, 0, 10, 15, 95
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignUp\index.js", "JavaScript", 207, 0, 0, 0, 0, 0, 0, 28, 19, 254
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignUp\index.scss", "SCSS", 0, 0, 0, 0, 108, 0, 0, 15, 24, 147
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\index.css", "CSS", 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\index.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 12, 3, 31
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\webpack.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 1973, 10, 1, 17, 2026, 21, 19153, 415, 615, 24231
