"filename", "language", "JSON", "JavaScript", "SCSS", "Markdown", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\index.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 6, 8, 56
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\index.scss", "SCSS", 0, 0, 221, 0, 0, 0, 0, 24, 41, 286
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.js", "JavaScript", 0, 171, 0, 0, 0, 0, 0, 20, 36, 227
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.scss", "SCSS", 0, 0, 56, 0, 0, 0, 0, 15, 12, 83
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobPost\index.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 7, 8, 63
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobPost\index.scss", "SCSS", 0, 0, 68, 0, 0, 0, 0, 13, 13, 94
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\index.js", "JavaScript", 0, 243, 0, 0, 0, 0, 0, 25, 35, 303
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\index.scss", "SCSS", 0, 0, 117, 0, 0, 0, 0, 10, 24, 151
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Layout\index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 6, 5, 30
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Layout\index.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 2, 2, 13
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenuInterior\index.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 7, 6, 60
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenuInterior\index.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 3, 4, 20
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenubarLanding\index.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 1, 5, 51
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenubarLanding\index.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 4, 10, 37
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignIn\index.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 3, 14, 98
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignIn\index.scss", "SCSS", 0, 0, 87, 0, 0, 0, 0, 11, 20, 118
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignUp\index.js", "JavaScript", 0, 210, 0, 0, 0, 0, 0, 28, 22, 260
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignUp\index.scss", "SCSS", 0, 0, 108, 0, 0, 0, 0, 15, 24, 147
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\index.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 8, 21, 148
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\index.scss", "SCSS", 0, 0, 42, 0, 0, 0, 0, 0, 4, 46
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\context\AuthContext.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 3, 24, 121
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 12, 3, 34
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\webpack.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 19164, 2714, 1919, 10, 21, 1, 17, 410, 775, 25031
